distance,clock,feature_type,depth_2022,length,width,survey_year,depth_2015,depth_2007,predicted_depth_2030,CGR,Risk_Level
14938.553,01:07:00,Metal Loss,20.0,1.7,2.0,2022,14.0,26.0,13.467455621301838,-0.4,Low
14955.991,06:57:00,Metal Loss,18.0,7.1,3.0,2022,15.0,31.0,7.633136094674683,-0.8666666666666667,Low
15029.964,07:04:00,Metal Loss,12.0,4.4,2.4,2022,11.0,11.0,12.331360946745562,0.06666666666666667,Low
15064.17,03:25:00,Metal Loss,17.0,0.8,3.6,2022,23.0,12.0,22.822485207100613,0.3333333333333333,Low
15064.206,07:33:00,Metal Loss,15.0,2.3,1.0,2022,23.0,14.0,18.73964497041422,0.06666666666666667,Low
15065.643,08:53:00,Metal Loss,16.0,3.8,3.8,2022,17.0,18.0,14.958579881656817,-0.13333333333333333,Low
15086.227,07:45:00,Metal Loss,17.0,1.9,2.2,2022,10.0,22.0,10.798816568047414,-0.3333333333333333,Low
15088.412,08:01:00,Metal Loss,27.0,42.6,8.3,2022,11.0,11.0,32.30177514792922,1.0666666666666667,Low
21366.778,07:15:00,Metal Loss,23.0,8.0,9.2,2022,10.0,40.0,6.005917159763612,-1.1333333333333333,Low
21366.955,04:20:00,Metal Loss,37.0,5.3,7.8,2022,11.0,20.0,39.2248520710059,1.1333333333333333,Low
21367.064,09:04:00,Metal Loss,23.0,2.5,1.5,2022,11.0,13.0,25.55621301775136,0.6666666666666666,Low
21367.073,08:28:00,Metal Loss,20.0,1.5,0.9,2022,15.0,26.0,13.846153846153925,-0.4,Low
23031.68,06:30:00,Metal Loss,16.0,3.4,2.9,2022,12.0,12.0,17.325443786982248,0.26666666666666666,Low
33402.677,08:20:00,Metal Loss,18.0,3.1,3.0,2022,31.0,15.0,25.053254437869782,0.2,Low
33480.335,04:30:00,Metal Loss,17.0,8.3,7.7,2022,11.0,13.0,17.568047337278074,0.26666666666666666,Low
33482.635,05:59:00,Metal Loss,33.0,1.5,1.9,2022,13.0,15.0,38.20710059171597,1.2,Low
33984.17,12:05:00,Metal Loss,31.0,12.8,4.5,2022,14.0,18.0,33.79289940828403,0.8666666666666667,Low
34055.39,05:38:00,Metal Loss,12.0,3.7,3.0,2022,31.0,21.0,12.804733727810572,-0.6,Low
34140.486,06:14:00,Metal Loss,32.0,2.1,1.9,2022,11.0,14.0,36.828402366863884,1.2,Low
39488.054,06:26:00,Metal Loss,14.0,4.2,3.5,2022,12.0,17.0,11.11242603550295,-0.2,Low
39517.218,03:20:00,Metal Loss,14.0,1.9,1.8,2022,10.0,15.0,11.775147928994073,-0.06666666666666667,Low
41619.885,01:12:00,Metal Loss,12.0,3.9,2.2,2022,21.0,11.0,16.118343195266277,0.06666666666666667,Low
41647.425,09:35:00,Metal Loss,19.0,2.7,1.6,2022,10.0,14.0,19.142011834319533,0.3333333333333333,Low
41647.677,10:14:00,Metal Loss,26.0,10.5,2.6,2022,11.0,16.0,27.420118343195327,0.6666666666666666,Low
41648.238,09:35:00,Metal Loss,17.0,1.1,0.7,2022,16.0,24.0,11.65088757396461,-0.4666666666666667,Low
41648.973,09:35:00,Metal Loss,15.0,1.3,0.6,2022,12.0,15.0,13.863905325443788,0.0,Low
41655.673,09:47:00,Metal Loss,10.0,2.9,0.9,2022,11.0,11.0,9.668639053254424,-0.06666666666666667,Low
41666.512,01:49:00,Metal Loss,13.0,6.7,3.1,2022,12.0,16.0,10.491124260355093,-0.2,Low
41707.907,11:42:00,Metal Loss,18.0,1.0,1.6,2022,15.0,10.0,22.54437869822482,0.5333333333333333,Low
41746.07,09:46:00,Metal Loss,10.0,9.5,3.8,2022,12.0,11.0,10.047337278106525,-0.06666666666666667,Low
41748.061,10:29:00,Metal Loss,13.0,2.1,2.0,2022,10.0,13.0,11.863905325443788,0.0,Low
44715.115,06:22:00,Metal Loss,17.0,4.1,1.9,2022,12.0,10.0,20.076923076923094,0.4666666666666667,Low
44715.961,06:26:00,Metal Loss,14.0,6.1,1.7,2022,35.0,10.0,24.79289940828403,0.26666666666666666,Low
44718.284,06:13:00,Metal Loss,13.0,8.1,2.3,2022,23.0,11.0,18.20710059171597,0.13333333333333333,Low
45011.45,07:25:00,Metal Loss,21.0,2.8,2.0,2022,19.0,17.0,23.082840236686366,0.26666666666666666,Low
45100.282,04:17:00,Metal Loss,14.0,5.0,4.2,2022,20.0,38.0,0.0,-1.6,Low
45143.068,07:21:00,Metal Loss,21.0,6.6,3.6,2022,10.0,14.0,21.804733727810685,0.4666666666666667,Low
45173.343,04:30:00,Metal Loss,11.0,4.6,4.5,2022,11.0,23.0,2.479289940828494,-0.8,Low
46340.344,08:50:00,Metal Loss,13.0,2.9,0.7,2022,18.0,10.0,17.023668639053255,0.2,Low
46728.278,02:07:00,Metal Loss,12.0,14.5,3.8,2022,31.0,15.0,17.065088757396495,-0.2,Low
53194.613,12:00:00,Metal Loss,26.0,0.6,1.7,2022,10.0,10.0,31.30177514792922,1.0666666666666667,Low
53195.381,12:02:00,Metal Loss,22.0,0.6,1.2,2022,12.0,12.0,25.313609467455535,0.6666666666666666,Low
