distance,clock,feature_type,depth,length,width,survey_year
-27.82,,Area Start Launcher,,,,2007
-19.48,06:00:00,Support,,,,2007
-15.78,06:00:00,Support,,,,2007
-12.21,06:00:00,Tap,,,,2007
-6.49,,Support,,,,2007
-5.3,,Flange,,,,2007
-1.38,09:00:00,Tap,,,,2007
0.0,,Valve,,,,2007
1.41,09:00:00,Tap,,,,2007
8.08,09:00:00,Tee,,,,2007
11.21,12:00:00,Tap,,,,2007
15.36,,Bend,,,,2007
21.15,,Area End Launcher,,,,2007
21.57,12:00:00,Magnet,,,,2007
28.38,,Girth Weld,,,,2007
29.8,,Above Ground Marker,,,,2007
33.82,,Bend,,,,2007
39.0,,Girth Weld,,,,2007
46.17,,Bend,,,,2007
53.91,,Girth Weld,,,,2007
93.8,,Girth Weld,,,,2007
98.5,,Bend,,,,2007
103.43,,Girth Weld,,,,2007
107.46,,Bend,,,,2007
125.12,09:04:00,Cluster,16.0,3.55,2.64,2007
127.58,05:50:00,Cluster,18.0,2.0,3.44,2007
128.45,,Girth Weld,,,,2007
143.61,,Girth Weld,,,,2007
175.18,,Girth Weld,,,,2007
215.24,,Girth Weld,,,,2007
255.28,,Girth Weld,,,,2007
262.31,,Bend,,,,2007
268.91,,Girth Weld,,,,2007
308.99,,Girth Weld,,,,2007
349.02,,Girth Weld,,,,2007
354.08,,Bend,,,,2007
359.15,,Girth Weld,,,,2007
376.14,,Girth Weld,,,,2007
379.98,,Bend,,,,2007
384.27,,Girth Weld,,,,2007
407.34,,Girth Weld,,,,2007
412.26,,Bend,,,,2007
417.43,,Girth Weld,,,,2007
429.59,,Girth Weld,,,,2007
434.06,,Bend,,,,2007
446.01,,Girth Weld,,,,2007
486.01,,Girth Weld,,,,2007
526.15,,Girth Weld,,,,2007
566.41,,Girth Weld,,,,2007
605.58,09:48:00,Cluster,10.0,0.86,2.41,2007
606.45,,Girth Weld,,,,2007
636.8,04:38:00,Cluster,15.0,1.85,8.94,2007
637.77,,Girth Weld,,,,2007
642.57,,Bend,,,,2007
647.4,,Girth Weld,,,,2007
651.09,,Bend,,,,2007
655.41,,Girth Weld,,,,2007
668.73,01:34:00,Cluster,21.0,4.67,10.14,2007
668.81,09:38:00,metal loss,40.0,1.02,0.94,2007
670.49,,Girth Weld,,,,2007
674.53,,Bend,,,,2007
678.36,,Girth Weld,,,,2007
679.22,08:16:00,metal loss,25.0,2.36,1.3,2007
679.28,08:50:00,metal loss,15.0,1.61,5.95,2007
687.11,,Girth Weld,,,,2007
697.49,,Girth Weld,,,,2007
737.46,,Girth Weld,,,,2007
743.36,,Bend,,,,2007
748.75,,Girth Weld,,,,2007
754.75,,Girth Weld,,,,2007
785.32,,Girth Weld,,,,2007
823.17,,Girth Weld,,,,2007
863.19,,Girth Weld,,,,2007
903.23,,Girth Weld,,,,2007
943.31,,Girth Weld,,,,2007
949.2,,Bend,,,,2007
955.78,,Girth Weld,,,,2007
957.34,04:17:00,Cluster,28.0,3.46,3.33,2007
957.56,03:44:00,metal loss,17.0,1.14,1.14,2007
985.38,,Girth Weld,,,,2007
992.14,,Bend,,,,2007
999.26,,Girth Weld,,,,2007
1039.3,,Girth Weld,,,,2007
1071.67,12:19:00,metal loss-manufacturing anomaly,18.0,0.67,0.83,2007
1079.26,,Girth Weld,,,,2007
1119.24,,Girth Weld,,,,2007
1159.23,,Girth Weld,,,,2007
1198.08,04:10:00,Cluster,13.0,4.9,1.11,2007
1199.28,,Girth Weld,,,,2007
1204.54,03:56:00,Cluster,13.0,8.21,5.13,2007
1226.73,07:51:00,Cluster,10.0,2.05,0.73,2007
1231.34,03:44:00,Cluster,10.0,4.49,4.88,2007
1238.12,07:51:00,Cluster,10.0,0.97,1.78,2007
1239.25,,Girth Weld,,,,2007
1239.41,03:45:00,Cluster,11.0,0.94,3.88,2007
1242.62,03:31:00,Cluster,11.0,8.17,5.95,2007
1252.92,07:41:00,Cluster,10.0,5.48,5.26,2007
1256.78,03:35:00,Cluster,10.0,1.02,2.2,2007
1262.7,07:45:00,Cluster,11.0,25.08,6.14,2007
1264.27,03:17:00,metal loss,10.0,0.47,0.59,2007
1265.9,03:20:00,Cluster,11.0,7.7,3.98,2007
1275.79,08:16:00,Cluster,10.0,5.03,3.86,2007
1276.9,07:59:00,Cluster,11.0,9.19,5.01,2007
1278.81,07:46:00,Cluster,10.0,5.35,9.59,2007
1279.23,,Girth Weld,,,,2007
1284.35,02:38:00,Cluster,11.0,2.45,7.96,2007
1296.52,08:41:00,Cluster,10.0,1.68,5.01,2007
1296.97,02:45:00,Cluster,10.0,2.5,3.56,2007
1299.79,08:33:00,Cluster,10.0,5.15,4.65,2007
1302.67,01:57:00,metal loss,12.0,0.55,0.55,2007
1319.26,,Girth Weld,,,,2007
1322.91,09:33:00,Cluster,10.0,1.82,2.26,2007
1330.47,08:40:00,Cluster,10.0,9.49,7.52,2007
1341.04,12:49:00,Cluster,10.0,27.71,19.52,2007
