distance,clock,feature_type,depth,length,width,survey_year,aligned_dist
-14.6,,Area Start Launcher,,,,2015,-1.03655176019519
-1.39,09:00:00,Tap,,,,2015,-0.10139979086789822
0.0,,Valve,,,,2015,-0.003
1.4,09:00:00,Tap,,,,2015,0.09610770303241548
8.16,09:00:00,Tee,,,,2015,0.5746563262460788
11.12,12:00:00,Tap,,,,2015,0.7841983269431857
15.13,,Bend,,,,2015,1.0680711049146046
19.09,12:00:00,Magnet,,,,2015,1.348404322063437
20.99,,Area End Launch Trap,,,,2015,1.4829076333217148
26.53,,AGM,,,,2015,1.8750909724642735
28.69,,GirthWeld,,,,2015,2.028
34.13,,Bend,,,,2015,4.4674161735700215
38.83,,GirthWeld,,,,2015,6.575000000000001
46.35,,Bend,,,,2015,8.033041638683681
53.72,,GirthWeld,,,,2015,9.462
94.06,,GirthWeld,,,,2015,21.24
98.98,,Bend,,,,2015,25.122925566343046
103.33,,GirthWeld,,,,2015,28.556
107.6,,Bend,,,,2015,34.18051282051282
111.52,,GirthWeld,,,,2015,39.344
128.88,,GirthWeld,,,,2015,54.639
144.02,,GirthWeld,,,,2015,94.665
175.63,,GirthWeld,,,,2015,104.432
215.7,,GirthWeld,,,,2015,112.536
255.86,,GirthWeld,,,,2015,129.521
262.71,,Bend,,,,2015,137.4912929984779
269.0,,GirthWeld,,,,2015,144.81
309.49,,GirthWeld,,,,2015,176.437
349.65,,GirthWeld,,,,2015,216.539
354.84,,Bend,,,,2015,238.0115526859504
359.33,,GirthWeld,,,,2015,256.588
376.91,,GirthWeld,,,,2015,270.072
381.04,,Bend,,,,2015,291.8535440210251
384.52,,GirthWeld,,,,2015,310.207
407.86,,GirthWeld,,,,2015,350.289
413.15,,Bend,,,,2015,356.07954113924046
417.34,,GirthWeld,,,,2015,360.666
429.95,,GirthWeld,,,,2015,377.671
434.43,,Bend,,,,2015,381.85318181818184
438.75,,GirthWeld,,,,2015,385.886
446.26,,GirthWeld,,,,2015,408.904
486.3,,GirthWeld,,,,2015,419.098
526.15,,GirthWeld,,,,2015,431.184
566.12,,GirthWeld,,,,2015,440.489
606.11,,GirthWeld,,,,2015,447.992
637.51,,GirthWeld,,,,2015,488.084
642.47,,Bend,,,,2015,509.5933851132688
646.78,,GirthWeld,,,,2015,528.284
651.2,,Bend,,,,2015,550.2814123456793
654.88,,GirthWeld,,,,2015,568.596
670.33,,GirthWeld,,,,2015,608.73
674.44,,Bend,,,,2015,625.5466605744127
677.99,,GirthWeld,,,,2015,640.072
686.92,,GirthWeld,,,,2015,649.675
697.29,,GirthWeld,,,,2015,657.956
737.27,,GirthWeld,,,,2015,672.979
742.69,,Bend,,,,2015,677.1581853932585
747.95,,GirthWeld,,,,2015,681.214
754.23,,GirthWeld,,,,2015,689.987
784.79,,GirthWeld,,,,2015,700.266
822.65,,GirthWeld,,,,2015,740.325
862.71,,GirthWeld,,,,2015,751.785
902.75,,GirthWeld,,,,2015,757.835
942.9,,GirthWeld,,,,2015,788.563
949.14,,Bend,,,,2015,808.4725986509275
954.76,,GirthWeld,,,,2015,826.404
984.83,,GirthWeld,,,,2015,866.627
991.56,,Bend,,,,2015,887.047277062831
998.04,,GirthWeld,,,,2015,906.709
1038.36,,GirthWeld,,,,2015,946.798
1078.41,,GirthWeld,,,,2015,959.331
1118.5,,GirthWeld,,,,2015,988.99
1158.59,,GirthWeld,,,,2015,1002.749
1198.74,,GirthWeld,,,,2015,1042.927
1238.87,,GirthWeld,,,,2015,1082.923
1279.0,,GirthWeld,,,,2015,1123.091
1319.13,,GirthWeld,,,,2015,1163.094
1359.26,,GirthWeld,,,,2015,1203.35
1399.33,,GirthWeld,,,,2015,1243.399
1439.41,,GirthWeld,,,,2015,1283.599
1474.52,,GirthWeld,,,,2015,1323.615
1514.6,,GirthWeld,,,,2015,1363.829
1554.67,,GirthWeld,,,,2015,1403.852
1594.69,,GirthWeld,,,,2015,1444.098
1634.65,,GirthWeld,,,,2015,1479.094
1674.68,,GirthWeld,,,,2015,1519.318
1714.66,,GirthWeld,,,,2015,1559.331
1754.61,,GirthWeld,,,,2015,1599.534
1794.68,,GirthWeld,,,,2015,1639.711
1821.71,,GirthWeld,,,,2015,1679.872
1861.75,,GirthWeld,,,,2015,1720.016
1901.7,,GirthWeld,,,,2015,1760.164
1940.56,,GirthWeld,,,,2015,1800.233
1980.62,,GirthWeld,,,,2015,1827.454
2020.72,,GirthWeld,,,,2015,1867.438
2060.81,,GirthWeld,,,,2015,1907.615
2100.91,,GirthWeld,,,,2015,1946.44
2140.9,,GirthWeld,,,,2015,1986.66
2180.93,,GirthWeld,,,,2015,2026.686
2220.99,,GirthWeld,,,,2015,2066.978
2260.83,,GirthWeld,,,,2015,2107.001
2300.87,,GirthWeld,,,,2015,2147.28
2311.27,,GirthWeld,,,,2015,2187.316
2351.35,,GirthWeld,,,,2015,2227.552
2358.82,,Bend,,,,2015,2248.0510578114254
2365.88,,GirthWeld,,,,2015,2267.425
2389.82,,GirthWeld,,,,2015,2307.736
2429.86,,GirthWeld,,,,2015,2318.048
2469.86,,GirthWeld,,,,2015,2358.294
2509.92,,GirthWeld,,,,2015,2373.494
2549.96,,GirthWeld,,,,2015,2397.247
2590.02,,GirthWeld,,,,2015,2437.32
2630.08,,GirthWeld,,,,2015,2477.585
2670.11,,GirthWeld,,,,2015,2517.612
2710.16,,GirthWeld,,,,2015,2557.89
2750.26,,GirthWeld,,,,2015,2597.992
2790.34,,GirthWeld,,,,2015,2638.248
2830.42,,GirthWeld,,,,2015,2678.34
2870.53,,GirthWeld,,,,2015,2718.55
2874.78,,Bend,,,,2015,2739.6903225806454
2878.59,,GirthWeld,,,,2015,2758.642
2909.79,,GirthWeld,,,,2015,2798.875
2949.78,,GirthWeld,,,,2015,2838.881
2989.81,,GirthWeld,,,,2015,2879.088
3029.58,,GirthWeld,,,,2015,2887.808
3036.06,,AGM,,,,2015,2892.801192807193
3069.62,,GirthWeld,,,,2015,2918.661
3075.49,12:00:00,Tap,,,,2015,2924.58309625
3109.62,,GirthWeld,,,,2015,2959.016
3148.08,,GirthWeld,,,,2015,2998.999
3188.15,,GirthWeld,,,,2015,3038.99
3228.27,,GirthWeld,,,,2015,3079.016
3268.31,,GirthWeld,,,,2015,3119.173
3308.39,,GirthWeld,,,,2015,3157.615
3348.46,,GirthWeld,,,,2015,3197.848
