rec_index,hist_index,match_type,distance,depth_15,depth_22,growth,ai_conf
24,,NEW,125.9,,17.0,,0.0
25,,NEW,126.38,,29.0,,0.0
26,365.0,MATCHED,128.58,20.0,21.0,1.0,0.9447000026702881
27,891.0,MATCHED,128.84,35.0,30.0,-5.0,0.8733000159263611
29,2757.0,MATCHED,143.37,32.0,32.0,0.0,0.9362000226974487
30,526.0,MATCHED,143.65,27.0,25.0,-2.0,0.9735999703407288
31,,NEW,143.66,,12.0,,0.0
32,356.0,MATCHED,143.68,20.0,21.0,1.0,0.8578000068664551
34,,NEW,146.29,,23.0,,0.0
35,3115.0,MATCHED,146.46,18.0,20.0,2.0,0.9609000086784363
36,,NEW,175.38,,15.0,,0.0
41,,NEW,265.17,,23.0,,0.0
54,3628.0,MATCHED,423.1,14.0,13.0,-1.0,0.8853999972343445
55,,NEW,423.57,,12.0,,0.0
56,2457.0,MATCHED,429.21,14.0,15.0,1.0,0.902999997138977
60,,NEW,440.8,,15.0,,0.0
63,,NEW,488.24,,14.0,,0.0
66,2254.0,MATCHED,526.92,16.0,17.0,1.0,0.9354000091552734
68,,NEW,528.47,,23.0,,0.0
69,,NEW,529.12,,11.0,,0.0
70,3347.0,MATCHED,529.29,16.0,18.0,2.0,0.85589998960495
71,2463.0,MATCHED,534.11,26.0,27.0,1.0,0.9725000262260437
72,,NEW,534.54,,12.0,,0.0
73,,NEW,535.07,,15.0,,0.0
74,2328.0,MATCHED,535.6,14.0,16.0,2.0,0.8877000212669373
75,3592.0,MATCHED,535.98,15.0,15.0,0.0,0.8948000073432922
76,,NEW,567.25,,13.0,,0.0
77,2573.0,MATCHED,567.74,15.0,16.0,1.0,0.8518000245094299
79,1364.0,MATCHED,571.02,12.0,13.0,1.0,0.9028000235557556
80,2134.0,MATCHED,572.49,10.0,11.0,1.0,0.8680999875068665
81,2114.0,MATCHED,573.5,14.0,16.0,2.0,0.9207000136375427
82,,NEW,576.51,,13.0,,0.0
83,3186.0,MATCHED,578.93,16.0,18.0,2.0,0.948199987411499
84,,NEW,579.44,,13.0,,0.0
85,3482.0,MATCHED,582.82,10.0,12.0,2.0,0.9534000158309937
86,2843.0,MATCHED,584.37,11.0,11.0,0.0,0.8547999858856201
87,,NEW,589.13,,11.0,,0.0
88,,NEW,592.64,,13.0,,0.0
